Time;Temp;RH;CO2
2022-05-10T09:00:00Z;27.76075;48.9385;798.712
2022-05-10T10:00:00Z;27.54525;47.73275;731.57725
2022-05-10T11:00:00Z;27.39275;48.647;809.7015
2022-05-10T12:00:00Z;27.35125;49.05625;891.53425
2022-05-10T13:00:00Z;27.6505;48.908;953.18175
2022-05-10T14:00:00Z;27.7955;48.2935;1025.499
2022-05-10T15:00:00Z;27.74925;50.58775;1339.10575
2022-05-10T16:00:00Z;27.89275;48.37575;1066.3225
2022-05-10T17:00:00Z;28.009;47.81675;915.727
2022-05-10T18:00:00Z;28.19675;48.52675;1213.9515
2022-05-10T19:00:00Z;28.38775;46.809;1455.78225
2022-05-10T20:00:00Z;28.35475;44.284;899.176
2022-05-10T21:00:00Z;28.49625;47.4235;996.70075
2022-05-10T22:00:00Z;28.581;48.211;1054.895
2022-05-10T23:00:00Z;28.62525;49.095;1021.955
2022-05-11T00:00:00Z;28.5555;47.5075;868.904
2022-05-11T01:00:00Z;28.63925;47.42775;816.82925
2022-05-11T02:00:00Z;28.6735;46.22325;709.828
2022-05-11T03:00:00Z;28.58975;46.738;720.3185
2022-05-11T04:00:00Z;28.611;47.05725;688.3425
2022-05-11T05:00:00Z;28.57066667;45.95733333;662.794
2022-05-11T06:00:00Z;28.48675;43.4105;817.97325
2022-05-11T07:00:00Z;28.461;45.15275;929.45775
2022-05-11T08:00:00Z;27.974;46.49875;1357.95425
2022-05-11T09:00:00Z;27.9575;44.51625;870.3795
2022-05-11T10:00:00Z;28.1305;39.869;505.421
2022-05-11T11:00:00Z;28.15925;38.2565;439.19625
2022-05-11T12:00:00Z;28.17975;37.9835;428.16925
2022-05-11T13:00:00Z;28.15175;36.05225;481.965
2022-05-11T14:00:00Z;28.2575;34.5745;570.731
2022-05-11T15:00:00Z;28.40425;36.5775;653.01725
2022-05-11T16:00:00Z;28.1485;36.23975;609.45975
2022-05-11T17:00:00Z;27.75625;36.7195;625.45425
2022-05-11T18:00:00Z;27.694;37.6025;651.41025
2022-05-11T19:00:00Z;27.9815;37.89825;591.46275
2022-05-11T20:00:00Z;28.3835;39.33725;641.41925
2022-05-11T21:00:00Z;28.49133333;39.48533333;598.4756667
2022-05-11T22:00:00Z;28.55375;41.11875;705.4985
2022-05-11T23:00:00Z;28.5705;42.144;984.4385
2022-05-12T00:00:00Z;28.6665;42.69925;923.23
2022-05-12T01:00:00Z;28.6735;42.421;815.82425
2022-05-12T02:00:00Z;28.73;41.52175;710.6635
2022-05-12T03:00:00Z;28.67375;39.78675;596.02725
2022-05-12T04:00:00Z;28.60175;38.25925;527.49325
2022-05-12T05:00:00Z;28.54975;37.76975;499.77425
2022-05-12T06:00:00Z;28.23925;35.9265;543.38375
